"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.11.2022","5,3325","5,3333","5,3333","5,3328","0,01K","0,01%"
"14.11.2022","5,3321","5,3253","5,3527","5,2589","164,62K","0,13%"
"11.11.2022","5,3250","5,3454","5,4066","5,2484","179,78K","-0,37%"
"10.11.2022","5,3449","5,1869","5,4155","5,1869","244,22K","3,06%"
"09.11.2022","5,1864","5,1444","5,2014","5,1364","186,74K","0,82%"
"08.11.2022","5,1440","5,1572","5,2488","5,1298","181,41K","-0,25%"
"07.11.2022","5,1567","5,0571","5,1757","5,0461","158,14K","2,00%"
"04.11.2022","5,0557","5,1170","5,1170","5,0184","180,05K","-1,13%"
"03.11.2022","5,1137","5,1437","5,2244","5,0830","203,31K","-0,57%"
"02.11.2022","5,1432","5,1475","5,1480","5,1437","","-0,08%"
"01.11.2022","5,1475","5,1803","5,2069","5,0830","208,66K","-0,61%"
"31.10.2022","5,1791","5,2962","5,4083","5,1531","180,03K","-2,19%"
"28.10.2022","5,2949","5,3451","5,3832","5,2800","202,54K","-0,94%"
"27.10.2022","5,3449","5,3807","5,3927","5,2406","186,52K","-0,66%"
"26.10.2022","5,3804","5,3166","5,3879","5,2797","183,45K","1,20%"
"25.10.2022","5,3167","5,3037","5,3581","5,2757","180,71K","0,25%"
"24.10.2022","5,3032","5,1649","5,3101","5,1648","177,34K","2,77%"
"21.10.2022","5,1605","5,2180","5,2773","5,1404","216,51K","-1,04%"
"20.10.2022","5,2147","5,2707","5,2716","5,1922","189,24K","-1,05%"
"19.10.2022","5,2700","5,2414","5,2998","5,2411","182,98K","0,56%"
"18.10.2022","5,2405","5,2833","5,2993","5,2336","176,73K","-0,76%"
"17.10.2022","5,2808","5,3288","5,3307","5,2531","132,52K","-0,83%"
"14.10.2022","5,3252","5,2629","5,3347","5,2407","164,83K","1,19%"
"13.10.2022","5,2626","5,2725","5,3817","5,2288","169,10K","-0,57%"
"12.10.2022","5,2930","5,3034","5,3034","5,2932","8,27K","-0,14%"
"11.10.2022","5,3005","5,1899","5,3057","5,1770","174,89K","2,13%"
"10.10.2022","5,1901","5,1999","5,2174","5,1625","137,86K","-0,18%"
"07.10.2022","5,1996","5,2215","5,2533","5,1937","172,97K","-0,42%"
"06.10.2022","5,2217","5,1959","5,2333","5,1723","182,70K","0,53%"
"05.10.2022","5,1940","5,1779","5,2442","5,1593","177,29K","0,33%"
"04.10.2022","5,1770","5,1650","5,2218","5,1083","167,00K","0,19%"
"03.10.2022","5,1672","5,4158","5,4158","5,1526","162,97K","-4,58%"
"30.09.2022","5,4154","5,4013","5,4278","5,3282","191,95K","0,35%"
"29.09.2022","5,3964","5,3765","5,4300","5,3730","226,00K","0,41%"
